Date,1a. open (GBP),1b. open (USD),2a. high (GBP),2b. high (USD),3a. low (GBP),3b. low (USD),4a. close (GBP),4b. close (USD),5. volume,6. market cap (USD)
06/09/2023,20308.70741,25792.11,20503.896,26040,19978.31437,25372.51,20283.38463,25759.95,27262.52386,27262.52386
05/09/2023,20335.41602,25826.03,20405.85683,25915.49,20128.00699,25562.62,20308.69954,25792.1,21323.39337,21323.39337
04/09/2023,20449.73075,25971.21,20557.45495,26108.02,20182.01475,25631.21,20335.40815,25826.02,21777.59609,21777.59609
03/09/2023,20369.66005,25869.52,20578.699,26135,20314.92,25800,20449.73075,25971.21,17474.47667,17474.47667
02/09/2023,20318.8885,25805.04,20462.5575,25987.5,20277.49488,25752.47,20369.65217,25869.51,16250.77698,16250.77698
01/09/2023,20425.7623,25940.77,20595.2344,26156,19947.79475,25333.75,20318.89637,25805.05,41032.15056,41032.15056
31/08/2023,21496.01213,27299.99,21722.40537,27587.51,20200.75487,25655.01,20425.77017,25940.78,51032.80401,51032.80401
30/08/2023,21823.84612,27716.34,21864.97202,27768.57,21273.37478,27017.24,21496.01213,27299.99,35448.25848,35448.25848
29/08/2023,20566.888,26120,22159.68009,28142.85,20410.9828,25922,21823.84612,27716.34,74251.99488,74251.99488
28/08/2023,20552.54157,26101.78,20672.39173,26253.99,20365.7073,25864.5,20566.888,26120,22692.62655,22692.62655
27/08/2023,20486.08501,26017.38,20615.8879,26182.23,20445.71501,25966.11,20552.5337,26101.77,12099.64216,12099.64216
26/08/2023,20519.644,26060,20571.4313,26125.77,20461.31341,25985.92,20486.07714,26017.37,10022.22322,10022.22322
25/08/2023,20614.17137,26180.05,20719.68297,26314.05,20296.92791,25777.15,20519.65187,26060.01,27753.33772,27753.33772
24/08/2023,20813.11585,26432.71,20927.41484,26577.87,20365.3136,25864,20614.17137,26180.05,30205.22116,30205.22116
23/08/2023,20516.48653,26055.99,21117.4932,26819.27,20325.01447,25812.82,20813.12373,26432.72,44023.69978,44023.69978
22/08/2023,20572.33681,26126.92,20582.17931,26139.42,19921.22,25300,20516.4944,26056,34247.06688,34247.06688
21/08/2023,20622.006,26190,20675.87991,26258.42,20324.3688,25812,20572.33681,26126.92,30267.24233,30267.24233
20/08/2023,20551.14787,26100.01,20707.8326,26299,20449.60477,25971.05,20621.99813,26189.99,19056.91209,19056.91209
19/08/2023,20514.9196,26054,20693.6594,26281,20315.77827,25801.09,20551.14787,26100.01,26160.75343,26160.75343
18/08/2023,20963.27303,26623.41,21127.98924,26832.6,20172.4006,25619,20514.9196,26054,69790.65711,69790.65711
17/08/2023,22622.40357,28730.51,22664.11215,28783.48,19815.7084,25166,20963.27303,26623.41,100271.5403,100271.5403
16/08/2023,22992.08787,29200.01,23039.20589,29259.85,22616.55319,28723.08,22622.40357,28730.51,32996.69854,32996.69854
15/08/2023,23173.90641,29430.92,23227.71732,29499.26,22881.52904,29059.6,22992.08,29200,27503.87691,27503.87691
14/08/2023,23073.85149,29303.85,23382.09497,29695.32,22915.26913,29102.45,23173.91428,29430.93,31443.11532,31443.11532
13/08/2023,23173.32373,29430.18,23208.33941,29474.65,23049.02477,29272.32,23073.84362,29303.84,11101.70947,11101.70947
12/08/2023,23170.04815,29426.02,23213.61499,29481.35,23135.04034,29381.56,23173.31586,29430.17,8971.48068,8971.48068
11/08/2023,23193.46542,29455.76,23279.10305,29564.52,23033.37913,29252.45,23170.05602,29426.03,20637.0443,20637.0443
10/08/2023,23292.85893,29581.99,23415.7012,29738,23086.72548,29320.2,23193.45755,29455.75,23463.45373,23463.45373
